feature,target,tau,|tau|,p-value,dataset,drop_duplicates
Indentation length (dft),readability_level,-0.016727512656515276,0.016727512656515276,0.842536273098552,ds_code,True
#commas (avg),readability_level,0.0464012007632589,0.0464012007632589,0.5943221339128819,ds_code,True
Keywords (Visual X),readability_level,0.015807513364849285,0.015807513364849285,0.8419283723657632,ds_code,True
#commas,readability_level,0.03891589895002906,0.03891589895002906,0.6604138493838487,ds_code,True
Entropy,readability_level,0.0,0.0,1.0,ds_code,True
CICSyn (max),readability_level,-0.03606649862649857,0.03606649862649857,0.6619623661007277,ds_code,True
Indentation length (max),readability_level,0.0760682749752401,0.0760682749752401,0.3978074145363012,ds_code,True
#comparisons (dft),readability_level,0.16706859857402492,0.16706859857402492,0.05809496956100384,ds_code,True
#identifiers (min),readability_level,-0.1362369390460698,0.1362369390460698,0.1444976672377522,ds_code,True
Line length (avg),readability_level,0.03237273598964305,0.03237273598964305,0.682790278860802,ds_code,True
#operators (avg),readability_level,-0.140726293690579,0.140726293690579,0.12768865669638624,ds_code,True
#periods,readability_level,-0.13599547535022974,0.13599547535022974,0.10152255348939612,ds_code,True
MIDQ (max),readability_level,0.03628322188511607,0.03628322188511607,0.705727492958903,ds_code,True
#nested blocks (avg),readability_level,0.0909724501786608,0.0909724501786608,0.2833931472541199,ds_code,True
Line length (dft),readability_level,-0.05496314555471894,0.05496314555471894,0.5029922595565725,ds_code,True
