feature,target,tau,|tau|,p-value,dataset,drop_duplicates
#operators (dft),AU,-0.01253350615317843,0.01253350615317843,0.9190776396573329,ds_code,True
#operators (avg),AU,0.031098725278798117,0.031098725278798117,0.8055013631280651,ds_code,True
#commas (dft),AU,0.09616607990368435,0.09616607990368435,0.4190339379776654,ds_code,True
#identifiers (dft),AU,-0.019793224814457805,0.019793224814457805,0.86810690081051,ds_code,True
Comments (Visual X),AU,-0.22542407390853764,0.22542407390853764,0.06590871187736967,ds_code,True
NMI (max),AU,0.002662615472804385,0.002662615472804385,0.9823143970652284,ds_code,True
NM (max),AU,-0.24975506999116281,0.24975506999116281,0.04179231330758134,ds_code,True
#identifiers,AU,0.10499383855995403,0.10499383855995403,0.3760810144084499,ds_code,True
LOC,AU,0.09248464227744732,0.09248464227744732,0.4382069197511441,ds_code,True
Strings (Visual X),AU,0.02194655235758437,0.02194655235758437,0.8572308509349574,ds_code,True
#keywords (avg),AU,-0.14223161055349776,0.14223161055349776,0.22799488815500268,ds_code,True
CICSyn (max),AU,0.01686143459542126,0.01686143459542126,0.8914291493727234,ds_code,True
Keywords (Visual X),AU,-0.15502665587976808,0.15502665587976808,0.18818007053401786,ds_code,True
NM (avg),AU,-0.06383450536225745,0.06383450536225745,0.5879046490183448,ds_code,True
#comparisons (dft),AU,-0.05581036850303259,0.05581036850303259,0.6465221257579925,ds_code,True
Comments (Visual Y),AU,-0.0713262951621492,0.0713262951621492,0.5587656427304222,ds_code,True
#periods (avg),AU,0.013070198179212313,0.013070198179212313,0.9119230105488259,ds_code,True
#spaces (avg),AU,-0.04826069622843447,0.04826069622843447,0.6823854181016501,ds_code,True
#commas,AU,-0.03771318263945956,0.03771318263945956,0.7558026776474374,ds_code,True
#assignments (avg),AU,-0.0993743421374948,0.0993743421374948,0.4005039340112093,ds_code,True
#blank lines (avg),AU,0.16432538601542,0.16432538601542,0.1662881140116369,ds_code,True
#identifiers (avg),AU,0.06127905950404594,0.06127905950404594,0.6032151270825972,ds_code,True
#parenthesis (dft),AU,0.08598696060309025,0.08598696060309025,0.4715951036759075,ds_code,True
Entropy,AU,-0.061304127641524875,0.061304127641524875,0.6031977258735922,ds_code,True
Line length (max),AU,-0.24864041351371138,0.24864041351371138,0.035570455279026934,ds_code,True
