feature,target,tau,|tau|,p-value,dataset,drop_duplicates
#periods,AU,0.023672696657798437,0.023672696657798437,0.8421103274699421,ds_code,True
Literals (Visual Y),AU,0.0033078869698455688,0.0033078869698455688,0.981248106878821,ds_code,True
#spaces,AU,-0.005221647348882615,0.005221647348882615,0.9647122496067899,ds_code,True
#assignments (dft),AU,0.08039151657034559,0.08039151657034559,0.49950007717266687,ds_code,True
#spaces (dft),AU,0.11079567182398306,0.11079567182398306,0.3524517143817505,ds_code,True
MIDQ (max),AU,0.10648034036597855,0.10648034036597855,0.45380996556705544,ds_code,True
#keywords (dft),AU,0.07263601733469455,0.07263601733469455,0.5425616774597891,ds_code,True
#comments (dft),AU,-0.03305799755228345,0.03305799755228345,0.7819086307532841,ds_code,True
#conditionals (dft),AU,-0.1290295281441081,0.1290295281441081,0.2888229419906426,ds_code,True
#numbers (max),AU,0.08757473223842878,0.08757473223842878,0.5241682879514094,ds_code,True
Cyclomatic complexity,AU,0.013546044777956295,0.013546044777956295,0.9114942670300982,ds_code,True
#numbers (avg),AU,0.05180389327104148,0.05180389327104148,0.6815284245585522,ds_code,True
#comparisons (avg),AU,-0.1616655306995037,0.1616655306995037,0.19083249379219502,ds_code,True
#assignments,AU,-0.08956213264157188,0.08956213264157188,0.4623454981812448,ds_code,True
#identifiers (min),AU,-0.07857484440968479,0.07857484440968479,0.5823029735141769,ds_code,True
Line length (dft),AU,-0.08552031950914178,0.08552031950914178,0.4719150538691371,ds_code,True
#nested blocks (avg),AU,-0.037103052593710495,0.037103052593710495,0.7561170138208931,ds_code,True
Literals (Visual X),AU,-0.016539434849227846,0.016539434849227846,0.9064472960563896,ds_code,True
Numbers (Visual Y),AU,0.020050033279227088,0.020050033279227088,0.8755541587382548,ds_code,True
Numbers (Visual X),AU,-0.09716554589163896,0.09716554589163896,0.44788591370732556,ds_code,True
#characters (max),AU,-0.14863431454172846,0.14863431454172846,0.20739921464683853,ds_code,True
CIC (max),AU,0.0,0.0,1.0,ds_code,True
#literals,AU,0.17225343727304465,0.17225343727304465,0.1525765699518153,ds_code,True
Operators (Visual X),AU,-0.15502665587976808,0.15502665587976808,0.18818007053401786,ds_code,True
Keywords (Visual Y),AU,0.03517411519961125,0.03517411519961125,0.7652573525006255,ds_code,True
#statements,AU,0.19710855648050785,0.19710855648050785,0.09693914463713213,ds_code,True
CIC (avg),AU,0.03230241500233407,0.03230241500233407,0.7936215335813972,ds_code,True
#loops (avg),AU,0.009082955603771412,0.009082955603771412,0.9456190842677527,ds_code,True
Line length (avg),AU,-0.05347806879367063,0.05347806879367063,0.6502253674722633,ds_code,True
MIDQ (avg),AU,0.11573950039780274,0.11573950039780274,0.4155214331869247,ds_code,True
Identifiers (Visual Y),AU,0.027357645155253192,0.027357645155253192,0.8163577276896143,ds_code,True
#periods (dft),AU,0.09896612407228902,0.09896612407228902,0.4063816043506112,ds_code,True
Identifiers length (max),AU,-0.28344804464722123,0.28344804464722123,0.018609149876931477,ds_code,True
CR,AU,-0.0496955598197564,0.0496955598197564,0.6855020162383364,ds_code,True
Indentation length (max),AU,-0.154857556725682,0.154857556725682,0.21673679047517058,ds_code,True
#parenthesis (avg),AU,0.05114214254947678,0.05114214254947678,0.666047811968012,ds_code,True
ITID (min),AU,0.05489122417388193,0.05489122417388193,0.695091610986481,ds_code,True
#numbers (dft),AU,0.15074446883841253,0.15074446883841253,0.2067111229428723,ds_code,True
#conditionals (avg),AU,-0.0402492437196231,0.0402492437196231,0.7383082031369859,ds_code,True
CICSyn (avg),AU,0.0407291319594647,0.0407291319594647,0.7415079641894814,ds_code,True
Volume,AU,0.13418273576147996,0.13418273576147996,0.25468510336016037,ds_code,True
#comments (avg),AU,-0.04674229545970313,0.04674229545970313,0.702205443149315,ds_code,True
NMI (avg),AU,0.09383594873913469,0.09383594873913469,0.42589049167793924,ds_code,True
Identifiers (Visual X),AU,-0.15502665587976808,0.15502665587976808,0.18818007053401786,ds_code,True
#parameters,AU,-0.17008220401563748,0.17008220401563748,0.1907846098513155,ds_code,True
#loops (dft),AU,-0.029402481195931807,0.029402481195931807,0.823760263121023,ds_code,True
MIDQ (min),AU,-0.11573950039780274,0.11573950039780274,0.4155214331869247,ds_code,True
Indentation length (avg),AU,-0.040484362306989694,0.040484362306989694,0.7316851892545849,ds_code,True
#commas (avg),AU,-0.03799735690361112,0.03799735690361112,0.7482964323994564,ds_code,True
#keywords (max),AU,-0.028639835273661398,0.028639835273661398,0.8257691729390031,ds_code,True
Strings (Visual Y),AU,0.14539590936899646,0.14539590936899646,0.2333242264415396,ds_code,True
Indentation length (dft),AU,0.11225566315361886,0.11225566315361886,0.34667939013365356,ds_code,True
#identifiers (max),AU,-0.16408832328754702,0.16408832328754702,0.1926903629372293,ds_code,True
ITID (avg),AU,-0.01955714665022743,0.01955714665022743,0.8682450478310642,ds_code,True
Operators (Visual Y),AU,0.02996313517003921,0.02996313517003921,0.799225584496138,ds_code,True
Identifiers Length (avg),AU,-0.1576321458945541,0.1576321458945541,0.18086404088385588,ds_code,True
#operators (dft),ABU50,-0.03960444570003374,0.03960444570003374,0.7481871993465403,ds_code,True
#operators (avg),ABU50,0.09212663850740056,0.09212663850740056,0.4657320673111236,ds_code,True
#commas (dft),ABU50,0.06673256226155083,0.06673256226155083,0.5749584224937397,ds_code,True
#identifiers (dft),ABU50,-0.022281416212122644,0.022281416212122644,0.8517082033211292,ds_code,True
Comments (Visual X),ABU50,-0.24212676959577256,0.24212676959577256,0.04823330110688787,ds_code,True
NMI (max),ABU50,-0.12304831953051558,0.12304831953051558,0.3056318579641295,ds_code,True
NM (max),ABU50,-0.23537705568860615,0.23537705568860615,0.05506069158695917,ds_code,True
#identifiers,ABU50,-0.027992968815993793,0.027992968815993793,0.8134389048042299,ds_code,True
LOC,ABU50,0.056360743073565346,0.056360743073565346,0.6366220692141886,ds_code,True
Strings (Visual X),ABU50,0.06095091350424279,0.06095091350424279,0.6173378506233798,ds_code,True
#keywords (avg),ABU50,-0.14263911419257005,0.14263911419257005,0.2266651490632149,ds_code,True
CICSyn (max),ABU50,-0.04245766295557626,0.04245766295557626,0.7310706583625013,ds_code,True
Keywords (Visual X),ABU50,-0.1169350439225484,0.1169350439225484,0.3208893297559894,ds_code,True
NM (avg),ABU50,-0.07525522628678857,0.07525522628678857,0.5229383657281633,ds_code,True
#comparisons (dft),ABU50,-0.08347261438982782,0.08347261438982782,0.4927747112516331,ds_code,True
Comments (Visual Y),ABU50,-0.10361655295721274,0.10361655295721274,0.39567786663115045,ds_code,True
#periods (avg),ABU50,-0.1417117611162056,0.1417117611162056,0.23040789378623472,ds_code,True
#spaces (avg),ABU50,-0.13562558125804913,0.13562558125804913,0.2501475495863468,ds_code,True
#commas,ABU50,-0.16877890211299515,0.16877890211299515,0.16397835584178222,ds_code,True
#assignments (avg),ABU50,-0.21149297883569015,0.21149297883569015,0.07357267138753795,ds_code,True
#blank lines (avg),ABU50,0.13085085438247182,0.13085085438247182,0.27035302695104035,ds_code,True
#identifiers (avg),ABU50,-0.06372954453541801,0.06372954453541801,0.5888052893629638,ds_code,True
#parenthesis (dft),ABU50,0.05760752452453822,0.05760752452453822,0.6295982392910772,ds_code,True
Entropy,ABU50,-0.08462108916100503,0.08462108916100503,0.4730558937138347,ds_code,True
Line length (max),ABU50,-0.2093411065283063,0.2093411065283063,0.0767938770497898,ds_code,True
#periods,ABU50,-0.11454211434595811,0.11454211434595811,0.3351365835391399,ds_code,True
Literals (Visual Y),ABU50,-0.09113312171380913,0.09113312171380913,0.5172786292519889,ds_code,True
#spaces,ABU50,-0.05800713856569204,0.05800713856569204,0.6230920994865681,ds_code,True
#assignments (dft),ABU50,0.06441796008781071,0.06441796008781071,0.5884378996818698,ds_code,True
#spaces (dft),ABU50,0.11253267280495143,0.11253267280495143,0.34495407805605427,ds_code,True
MIDQ (max),ABU50,0.028800732041624016,0.028800732041624016,0.8394396976691618,ds_code,True
#keywords (dft),ABU50,0.06572661300552557,0.06572661300552557,0.5816207521654633,ds_code,True
#comments (dft),ABU50,-0.04348126298942567,0.04348126298942567,0.7157694420256024,ds_code,True
#conditionals (dft),ABU50,-0.17260979355314518,0.17260979355314518,0.15590903171873302,ds_code,True
#numbers (max),ABU50,-0.09878324804824103,0.09878324804824103,0.4724779365486633,ds_code,True
Cyclomatic complexity,ABU50,0.02407722295899977,0.02407722295899977,0.8433822945108251,ds_code,True
#numbers (avg),ABU50,-0.09865509312415963,0.09865509312415963,0.43449517746565236,ds_code,True
#comparisons (avg),ABU50,-0.1874022249703615,0.1874022249703615,0.12942597298286956,ds_code,True
#assignments,ABU50,-0.16883886282377453,0.16883886282377453,0.165877235831432,ds_code,True
#identifiers (min),ABU50,-0.18954091923300123,0.18954091923300123,0.18457933907351332,ds_code,True
Line length (dft),ABU50,-0.0841884175588943,0.0841884175588943,0.478843953542457,ds_code,True
#nested blocks (avg),ABU50,-0.05770475248321237,0.05770475248321237,0.6290691512089122,ds_code,True
Literals (Visual X),ABU50,-0.1087717904326109,0.1087717904326109,0.4395948869587589,ds_code,True
Numbers (Visual Y),ABU50,-0.09457682449963382,0.09457682449963382,0.4600745131698257,ds_code,True
Numbers (Visual X),ABU50,-0.20423111377457154,0.20423111377457154,0.11066395639656242,ds_code,True
#characters (max),ABU50,-0.045190040670569136,0.045190040670569136,0.7014884820759975,ds_code,True
CIC (max),ABU50,-0.04251827349743398,0.04251827349743398,0.7310509570342465,ds_code,True
#literals,ABU50,0.07238888936785724,0.07238888936785724,0.5477346930417321,ds_code,True
Operators (Visual X),ABU50,-0.12388168019517504,0.12388168019517504,0.29298300415931666,ds_code,True
Keywords (Visual Y),ABU50,0.012735499833148835,0.012735499833148835,0.9139096776651033,ds_code,True
#statements,ABU50,0.054887818239472426,0.054887818239472426,0.643925290189183,ds_code,True
CIC (avg),ABU50,0.00374448679143944,0.00374448679143944,0.9758071829211794,ds_code,True
#loops (avg),ABU50,-0.02744542752750899,0.02744542752750899,0.8367098603811879,ds_code,True
Line length (avg),ABU50,-0.18663007335509324,0.18663007335509324,0.11354314982315691,ds_code,True
MIDQ (avg),ABU50,0.037029512624945166,0.037029512624945166,0.7944789943831045,ds_code,True
Identifiers (Visual Y),ABU50,0.012735499833148835,0.012735499833148835,0.9139096776651033,ds_code,True
#periods (dft),ABU50,0.08208942814992552,0.08208942814992552,0.49101793137544736,ds_code,True
Identifiers length (max),ABU50,-0.11644680363204912,0.11644680363204912,0.333656157683196,ds_code,True
CR,ABU50,0.0036804441612104375,0.0036804441612104375,0.9760736266307483,ds_code,True
Indentation length (max),ABU50,-0.172656405822339,0.172656405822339,0.16844180697938793,ds_code,True
#parenthesis (avg),ABU50,-0.12003708156024794,0.12003708156024794,0.311074832374587,ds_code,True
ITID (min),ABU50,0.06097851183642646,0.06097851183642646,0.6632564904026862,ds_code,True
#numbers (dft),ABU50,0.11634175772846328,0.11634175772846328,0.3298093696631247,ds_code,True
#conditionals (avg),ABU50,-0.07988682559766905,0.07988682559766905,0.5072588649009966,ds_code,True
CICSyn (avg),ABU50,-0.028707732067702375,0.028707732067702375,0.8161511143975021,ds_code,True
Volume,ABU50,0.03357540865102875,0.03357540865102875,0.7756340709350588,ds_code,True
#comments (avg),ABU50,-0.05620213874987062,0.05620213874987062,0.6457135031173368,ds_code,True
NMI (avg),ABU50,-0.020848420114464247,0.020848420114464247,0.8595799017920701,ds_code,True
Identifiers (Visual X),ABU50,-0.11461949849833952,0.11461949849833952,0.3305652751623528,ds_code,True
#parameters,ABU50,-0.308939782596639,0.308939782596639,0.017485093131105373,ds_code,True
#loops (dft),ABU50,-0.08146570514307346,0.08146570514307346,0.5371899448526885,ds_code,True
MIDQ (min),ABU50,-0.037029512624945166,0.037029512624945166,0.7944789943831045,ds_code,True
Indentation length (avg),ABU50,-0.11722247174802415,0.11722247174802415,0.3207963628868856,ds_code,True
#commas (avg),ABU50,-0.1735024255311984,0.1735024255311984,0.14286024088920102,ds_code,True
#keywords (max),ABU50,-0.017415027274227553,0.017415027274227553,0.8935171985508173,ds_code,True
Strings (Visual Y),ABU50,0.15603433857086155,0.15603433857086155,0.20088130573607088,ds_code,True
Indentation length (dft),ABU50,0.055163407343923235,0.055163407343923235,0.6437658258607654,ds_code,True
#identifiers (max),ABU50,-0.21497090772826022,0.21497090772826022,0.08789508154256742,ds_code,True
ITID (avg),ABU50,-0.0011587189915530547,0.0011587189915530547,0.9921581087029961,ds_code,True
Operators (Visual Y),ABU50,0.008104408984731078,0.008104408984731078,0.9451517820272025,ds_code,True
Identifiers Length (avg),ABU50,-0.08683295340783297,0.08683295340783297,0.4610597380405942,ds_code,True
#operators (dft),BD,-0.24488677261427244,0.24488677261427244,0.047140753277674315,ds_code,True
#operators (avg),BD,-0.019628934883537955,0.019628934883537955,0.876491725453396,ds_code,True
#commas (dft),BD,-0.17228320813428985,0.17228320813428985,0.1476947113396017,ds_code,True
#identifiers (dft),BD,-0.16207733265022442,0.16207733265022442,0.17388813800592562,ds_code,True
Comments (Visual X),BD,-0.23341471909964612,0.23341471909964612,0.05687985578257934,ds_code,True
NMI (max),BD,-0.18940285184021116,0.18940285184021116,0.11482748992014634,ds_code,True
NM (max),BD,-0.29709216019091417,0.29709216019091417,0.015461088222337887,ds_code,True
#identifiers,BD,-0.2145496138763007,0.2145496138763007,0.07049150198710889,ds_code,True
LOC,BD,-0.18563116381776945,0.18563116381776945,0.11970872945850088,ds_code,True
Strings (Visual X),BD,-0.11757100732798982,0.11757100732798982,0.3351697268254603,ds_code,True
#keywords (avg),BD,0.004612238994834919,0.004612238994834919,0.9688163626425023,ds_code,True
CICSyn (max),BD,-0.06084032682532232,0.06084032682532232,0.6223572215802622,ds_code,True
Keywords (Visual X),BD,-0.2923986183749237,0.2923986183749237,0.013061140068219835,ds_code,True
NM (avg),BD,-0.16346694413086285,0.16346694413086285,0.16524989026345493,ds_code,True
#comparisons (dft),BD,-0.10103980549567478,0.10103980549567478,0.40639543140385326,ds_code,True
Comments (Visual Y),BD,-0.1648418247072847,0.1648418247072847,0.17661809891943503,ds_code,True
#periods (avg),BD,-0.10510073353282894,0.10510073353282894,0.3737510143520971,ds_code,True
#spaces (avg),BD,-0.059934568725592254,0.059934568725592254,0.6113167184522237,ds_code,True
#commas,BD,-0.2737443543396469,0.2737443543396469,0.023983066291809067,ds_code,True
#assignments (avg),BD,-0.14096220582949584,0.14096220582949584,0.23304133912105462,ds_code,True
#blank lines (avg),BD,0.1765714234706317,0.1765714234706317,0.13691266699194504,ds_code,True
#identifiers (avg),BD,-0.19470769701632146,0.19470769701632146,0.09862553097560474,ds_code,True
#parenthesis (dft),BD,-0.18235850450065405,0.18235850450065405,0.12683254114450485,ds_code,True
Entropy,BD,-0.11986913745118451,0.11986913745118451,0.30944387059131473,ds_code,True
Line length (max),BD,-0.3966380922791171,0.3966380922791171,0.0007998231190218146,ds_code,True
#periods,BD,-0.1382943290014948,0.1382943290014948,0.24455244102297624,ds_code,True
Literals (Visual Y),BD,-0.10230594888389184,0.10230594888389184,0.46726609261730245,ds_code,True
#spaces,BD,-0.09920377069485134,0.09920377069485134,0.40061889376276316,ds_code,True
#assignments (dft),BD,-0.1397474251555767,0.1397474251555767,0.24045223259713522,ds_code,True
#spaces (dft),BD,-0.1375332477228752,0.1375332477228752,0.2484028681153968,ds_code,True
MIDQ (max),BD,0.020454731407494403,0.020454731407494403,0.8855818379622437,ds_code,True
#keywords (dft),BD,-0.19255529270275268,0.19255529270275268,0.10646525722401799,ds_code,True
#comments (dft),BD,-0.10048868610813291,0.10048868610813291,0.4000637934384693,ds_code,True
#conditionals (dft),BD,-0.057608812517995676,0.057608812517995676,0.6357978705904341,ds_code,True
#numbers (max),BD,-0.09226762589822389,0.09226762589822389,0.5021792228695181,ds_code,True
Cyclomatic complexity,BD,0.10653313211437583,0.10653313211437583,0.38202437113415244,ds_code,True
#numbers (avg),BD,-0.061471582793061856,0.061471582793061856,0.6262841753682427,ds_code,True
#comparisons (avg),BD,0.0322979622042939,0.0322979622042939,0.7938305530191185,ds_code,True
#assignments,BD,-0.17387241055411462,0.17387241055411462,0.1536141910732073,ds_code,True
#identifiers (min),BD,0.044635477548271164,0.044635477548271164,0.7546998156503157,ds_code,True
Line length (dft),BD,-0.21973535737403918,0.21973535737403918,0.06455375502167077,ds_code,True
#nested blocks (avg),BD,0.2014012861490166,0.2014012861490166,0.09181532949077807,ds_code,True
Literals (Visual X),BD,-0.11984411154970187,0.11984411154970187,0.3944628894673241,ds_code,True
Numbers (Visual Y),BD,-0.11175521025938553,0.11175521025938553,0.3827166438613867,ds_code,True
Numbers (Visual X),BD,-0.17444715747806522,0.17444715747806522,0.17301544896459709,ds_code,True
#characters (max),BD,-0.025346564108633562,0.025346564108633562,0.8297710780425372,ds_code,True
CIC (max),BD,-0.05222329678670935,0.05222329678670935,0.672889564291262,ds_code,True
#literals,BD,-0.016519176916173432,0.016519176916173432,0.8908849261047213,ds_code,True
Operators (Visual X),BD,-0.29470096970071047,0.29470096970071047,0.012361887960037456,ds_code,True
Keywords (Visual Y),BD,-0.19800221401766488,0.19800221401766488,0.092803580412023,ds_code,True
#statements,BD,-0.10682778601095833,0.10682778601095833,0.3683273326348794,ds_code,True
CIC (avg),BD,0.019856802723662904,0.019856802723662904,0.8722381172561733,ds_code,True
#loops (avg),BD,-0.10915616820833443,0.10915616820833443,0.4123771786402196,ds_code,True
Line length (avg),BD,-0.11756396173096942,0.11756396173096942,0.318840383427216,ds_code,True
MIDQ (avg),BD,0.028636623970492166,0.028636623970492166,0.8403422334761567,ds_code,True
Identifiers (Visual Y),BD,-0.19800221401766488,0.19800221401766488,0.092803580412023,ds_code,True
#periods (dft),BD,-0.20405419578265668,0.20405419578265668,0.08691210256591586,ds_code,True
Identifiers length (max),BD,-0.1630417668151688,0.1630417668151688,0.17585736474287095,ds_code,True
CR,BD,-0.09026699570127195,0.09026699570127195,0.46198555273338526,ds_code,True
Indentation length (max),BD,-0.1268884439438528,0.1268884439438528,0.3114660049337794,ds_code,True
#parenthesis (avg),BD,-0.025492896003827033,0.025492896003827033,0.8296663332805987,ds_code,True
ITID (min),BD,0.1552154959364776,0.1552154959364776,0.2677203599764436,ds_code,True
#numbers (dft),BD,-0.13554287893655134,0.13554287893655134,0.25623719840501447,ds_code,True
#conditionals (avg),BD,0.19798629243152108,0.19798629243152108,0.1002974435712229,ds_code,True
CICSyn (avg),BD,-0.0074463010213735885,0.0074463010213735885,0.951911845289568,ds_code,True
Volume,BD,-0.20721161932081208,0.20721161932081208,0.07858311615711698,ds_code,True
#comments (avg),BD,-0.026726124191242435,0.026726124191242435,0.8269493942118957,ds_code,True
NMI (avg),BD,-0.18541497675930815,0.18541497675930815,0.1156410320375826,ds_code,True
Identifiers (Visual X),BD,-0.2854915643975633,0.2854915643975633,0.01537320809393459,ds_code,True
#parameters,BD,-0.18325296326164908,0.18325296326164908,0.15866663054719998,ds_code,True
#loops (dft),BD,-0.14213472388777426,0.14213472388777426,0.28165463454636674,ds_code,True
MIDQ (min),BD,-0.028636623970492166,0.028636623970492166,0.8403422334761567,ds_code,True
Indentation length (avg),BD,-0.03462015801950205,0.03462015801950205,0.7693559161906979,ds_code,True
#commas (avg),BD,-0.22229966132542142,0.22229966132542142,0.060475135033721684,ds_code,True
#keywords (max),BD,-0.0825830248918255,0.0825830248918255,0.5255927508640987,ds_code,True
Strings (Visual Y),BD,-0.052119106341273834,0.052119106341273834,0.6692112630618923,ds_code,True
Indentation length (dft),BD,-0.10736416320395907,0.10736416320395907,0.3680969420219249,ds_code,True
#identifiers (max),BD,-0.33499371892665464,0.33499371892665464,0.007827016193968106,ds_code,True
ITID (avg),BD,-0.21775002802417015,0.21775002802417015,0.06474655631271513,ds_code,True
Operators (Visual Y),BD,-0.20030456534345167,0.20030456534345167,0.08906797694164793,ds_code,True
Identifiers Length (avg),BD,-0.05986113447045682,0.05986113447045682,0.6113509448073388,ds_code,True
